Serial_Number,Serial Number,MQ2,MQ3,MQ5,MQ6,MQ7,MQ8,MQ135,Gas,Corresponding Image Name
0,930,648,427,439,399,456,331,423,Mixture,930_Mixture
1,370,707,432,464,428,536,395,435,Mixture,370_Mixture
2,1570,767,528,463,465,675,724,481,Perfume,1570_Perfume
3,481,707,442,478,434,555,419,447,Mixture,481_Mixture
4,751,740,529,397,400,578,596,450,NoGas,751_NoGas
5,848,775,531,437,442,603,683,488,NoGas,848_NoGas
6,569,759,529,434,446,628,702,482,NoGas,569_NoGas
7,86,630,524,409,391,664,592,440,Perfume,86_Perfume
8,576,755,529,423,434,617,678,474,NoGas,576_NoGas
9,1380,707,425,306,341,596,610,347,Smoke,1380_Smoke
10,1117,661,417,395,360,379,254,383,Mixture,1117_Mixture
11,1588,688,439,475,427,520,340,443,Mixture,1588_Mixture
12,70,638,525,413,398,661,606,438,Perfume,70_Perfume
13,22,559,516,374,335,661,447,413,NoGas,22_NoGas
14,373,569,351,338,375,570,563,284,Smoke,373_Smoke
15,1423,728,521,451,451,676,733,488,Perfume,1423_Perfume
16,658,504,386,349,324,405,245,363,Mixture,658_Mixture
17,853,601,419,395,365,426,302,416,Mixture,853_Mixture
18,326,508,387,355,326,405,233,355,Mixture,326_Mixture
19,1299,563,424,384,360,402,267,384,Mixture,1299_Mixture
20,1495,755,427,373,376,608,636,357,Smoke,1495_Smoke
21,1257,726,534,373,358,474,453,477,Perfume,1257_Perfume
22,927,797,532,508,490,684,738,524,Perfume,927_Perfume
23,562,785,531,483,482,683,746,503,Perfume,562_Perfume
24,1006,745,533,391,386,521,547,463,Perfume,1006_Perfume
25,1019,692,432,467,424,505,342,432,Mixture,1019_Mixture
26,281,741,524,439,437,661,684,468,Perfume,281_Perfume
27,1126,726,383,375,386,584,620,333,Smoke,1126_Smoke
28,465,661,408,414,391,572,322,417,Mixture,465_Mixture
29,1141,752,532,398,390,529,556,504,Perfume,1141_Perfume
30,876,624,371,327,361,576,606,319,Smoke,876_Smoke
31,1559,608,425,409,377,463,297,417,Mixture,1559_Mixture
32,1150,645,455,448,414,506,386,440,Mixture,1150_Mixture
33,304,746,530,431,433,651,678,465,NoGas,304_NoGas
34,327,514,387,355,326,407,233,355,Mixture,327_Mixture
35,222,603,361,352,376,565,563,285,Smoke,222_Smoke
36,1299,712,406,320,348,584,622,345,Smoke,1299_Smoke
37,334,510,386,356,330,419,234,355,Mixture,334_Mixture
38,15,559,516,375,336,664,449,415,NoGas,15_NoGas
39,1042,748,531,398,395,535,566,460,NoGas,1042_NoGas
40,201,668,523,406,397,641,602,443,Perfume,201_Perfume
41,553,505,416,367,340,397,255,376,Mixture,553_Mixture
42,1307,544,422,380,356,392,261,379,Mixture,1307_Mixture
43,1459,756,527,399,399,530,579,483,NoGas,1459_NoGas
44,896,795,530,490,473,661,718,505,Perfume,896_Perfume
45,1078,566,431,390,363,396,274,398,Mixture,1078_Mixture
46,41,564,516,371,334,658,442,410,NoGas,41_NoGas
47,802,754,528,410,413,573,618,466,NoGas,802_NoGas
48,128,724,526,461,462,679,736,491,Perfume,128_Perfume
49,568,721,527,388,383,594,561,436,Perfume,568_Perfume
50,727,736,531,390,389,569,569,445,Perfume,727_Perfume
51,802,562,359,313,356,576,555,285,Smoke,802_Smoke
52,11,816,520,575,477,694,756,535,Perfume,11_Perfume
53,985,789,529,494,468,664,701,501,NoGas,985_NoGas
54,1316,657,395,298,334,584,593,327,Smoke,1316_Smoke
55,1545,803,530,486,462,605,743,554,NoGas,1545_NoGas
56,1346,782,533,445,437,568,666,502,NoGas,1346_NoGas
57,474,721,531,395,390,620,580,442,Perfume,474_Perfume
58,125,523,383,357,333,486,240,365,Mixture,125_Mixture
59,785,740,531,393,390,558,562,454,Perfume,785_Perfume
60,620,592,417,424,392,489,374,417,Mixture,620_Mixture
61,158,534,358,357,393,584,572,304,Smoke,158_Smoke
62,1126,744,536,395,390,529,558,460,NoGas,1126_NoGas
63,1309,791,533,460,440,586,634,489,NoGas,1309_NoGas
64,906,666,422,470,439,582,503,460,Mixture,906_Mixture
65,1588,710,526,409,397,631,591,437,Perfume,1588_Perfume
66,452,544,410,381,353,412,267,379,Mixture,452_Mixture
67,276,588,415,409,385,474,324,401,Mixture,276_Mixture
68,123,660,525,413,403,643,603,439,NoGas,123_NoGas
69,709,775,529,457,457,635,708,484,NoGas,709_NoGas
70,807,750,529,406,409,569,608,464,NoGas,807_NoGas
71,329,793,526,513,496,692,753,518,Perfume,329_Perfume
72,291,759,527,445,448,661,711,476,NoGas,291_NoGas
73,438,746,530,414,421,619,644,451,NoGas,438_NoGas
74,376,679,439,468,429,530,396,437,Mixture,376_Mixture
75,721,554,404,360,336,445,266,383,Mixture,721_Mixture
76,1370,717,531,367,352,468,435,476,Perfume,1370_Perfume
77,348,623,350,380,400,569,585,290,Smoke,348_Smoke
78,554,783,530,476,489,686,764,523,NoGas,554_NoGas
79,527,724,528,396,388,596,560,431,Perfume,527_Perfume
80,1288,568,433,387,364,401,273,390,Mixture,1288_Mixture
81,202,660,353,372,386,569,564,289,Smoke,202_Smoke
82,673,549,349,320,364,576,555,281,Smoke,673_Smoke
83,1020,591,369,312,353,581,585,302,Smoke,1020_Smoke
84,155,656,415,439,407,529,351,416,Mixture,155_Mixture
85,1593,778,525,433,429,551,637,532,NoGas,1593_NoGas
86,1307,718,535,374,361,472,455,480,Perfume,1307_Perfume
87,360,762,529,441,448,651,687,469,NoGas,360_NoGas
88,184,514,348,346,373,565,546,284,Smoke,184_Smoke
89,241,745,527,438,438,652,665,460,NoGas,241_NoGas
90,1454,648,524,397,383,635,567,433,Perfume,1454_Perfume
91,1038,662,445,460,415,509,363,449,Mixture,1038_Mixture
92,931,570,372,309,349,581,577,302,Smoke,931_Smoke
93,1367,516,403,357,335,375,243,353,Mixture,1367_Mixture
94,260,723,528,414,414,640,630,447,NoGas,260_NoGas
95,774,745,531,398,397,563,579,458,Perfume,774_Perfume
96,322,791,526,496,476,681,726,490,Perfume,322_Perfume
97,629,612,351,382,396,577,584,287,Smoke,629_Smoke
98,231,504,389,358,327,405,230,351,Mixture,231_Mixture
99,535,622,347,361,385,573,575,310,Smoke,535_Smoke
100,1228,513,412,351,329,364,247,368,Mixture,1228_Mixture
101,262,693,421,467,426,579,395,432,Mixture,262_Mixture
102,826,555,361,314,355,576,552,285,Smoke,826_Smoke
103,974,745,531,388,382,510,529,458,Perfume,974_Perfume
104,351,688,426,469,427,578,412,422,Mixture,351_Mixture
105,1557,749,442,377,371,592,641,348,Smoke,1557_Smoke
106,1395,794,530,505,484,586,718,570,Perfume,1395_Perfume
107,676,546,349,319,363,573,551,280,Smoke,676_Smoke
108,1381,704,413,460,417,539,357,406,Mixture,1381_Mixture
109,1057,740,530,378,374,496,500,453,Perfume,1057_Perfume
110,902,742,531,392,387,529,544,454,Perfume,902_Perfume
111,134,704,526,446,449,671,717,479,Perfume,134_Perfume
112,582,548,349,326,366,574,555,288,Smoke,582_Smoke
113,838,644,360,352,375,575,587,312,Smoke,838_Smoke
114,1472,733,416,333,349,598,612,340,Smoke,1472_Smoke
115,748,624,418,438,402,518,357,436,Mixture,748_Mixture
116,1505,770,526,423,419,547,622,504,NoGas,1505_NoGas
117,287,541,403,381,353,432,269,382,Mixture,287_Mixture
118,1254,635,403,328,349,587,591,319,Smoke,1254_Smoke
119,541,520,421,373,346,400,264,384,Mixture,541_Mixture
120,1275,719,534,364,355,480,438,471,Perfume,1275_Perfume
121,1503,777,435,360,373,609,632,362,Smoke,1503_Smoke
122,403,549,350,333,372,571,553,280,Smoke,403_Smoke
123,1,801,516,450,415,660,507,428,Perfume,1_Perfume
124,659,772,531,456,461,645,722,491,Perfume,659_Perfume
125,1180,807,523,528,517,678,785,585,Perfume,1180_Perfume
126,821,556,364,313,355,576,553,284,Smoke,821_Smoke
127,1198,728,523,374,360,493,475,479,Perfume,1198_Perfume
128,671,550,343,320,364,571,550,280,Smoke,671_Smoke
129,31,549,343,367,396,572,578,301,Smoke,31_Smoke
130,575,718,527,386,380,599,559,440,Perfume,575_Perfume
131,121,596,344,369,398,578,576,298,Smoke,121_Smoke
132,1495,781,533,439,433,564,655,511,NoGas,1495_NoGas
133,1333,510,410,358,337,368,244,361,Mixture,1333_Mixture
134,133,717,409,465,423,599,409,423,Mixture,133_Mixture
135,33,563,516,373,335,660,444,412,NoGas,33_NoGas
136,1442,658,524,403,388,639,583,438,Perfume,1442_Perfume
137,50,505,400,360,325,392,233,329,Mixture,50_Mixture
138,918,576,371,309,349,581,582,304,Smoke,918_Smoke
139,215,658,524,403,388,639,583,438,Perfume,215_Perfume
140,1229,726,518,378,365,484,472,482,Perfume,1229_Perfume
141,1449,693,415,302,335,597,605,338,Smoke,1449_Smoke
142,821,752,530,399,398,556,577,462,Perfume,821_Perfume
143,491,668,441,445,408,489,376,442,Mixture,491_Mixture
144,867,764,531,416,418,575,625,472,NoGas,867_NoGas
145,984,664,375,348,366,580,591,306,Smoke,984_Smoke
146,744,744,529,403,406,575,602,448,NoGas,744_NoGas
147,53,592,346,386,401,575,575,293,Smoke,53_Smoke
148,349,773,529,456,466,671,723,480,NoGas,349_NoGas
149,348,773,528,456,466,658,710,471,NoGas,348_NoGas
150,689,533,349,316,362,576,551,281,Smoke,689_Smoke
151,608,597,398,411,379,525,385,429,Mixture,608_Mixture
152,872,738,531,390,385,533,544,457,Perfume,872_Perfume
153,774,525,410,367,341,388,262,381,Mixture,774_Mixture
154,18,559,516,374,335,664,448,415,NoGas,18_NoGas
155,1569,801,522,504,492,625,754,574,NoGas,1569_NoGas
156,928,661,425,441,399,458,335,426,Mixture,928_Mixture
157,592,534,348,323,366,574,549,285,Smoke,592_Smoke
158,1146,750,531,394,387,526,548,502,Perfume,1146_Perfume
159,1217,799,525,499,475,604,730,561,Perfume,1217_Perfume
160,299,679,524,401,392,637,588,437,Perfume,299_Perfume
161,427,718,527,399,390,626,575,431,Perfume,427_Perfume
162,366,755,530,432,436,646,673,466,NoGas,366_NoGas
163,1283,775,534,439,426,557,589,503,Perfume,1283_Perfume
164,596,742,530,405,410,595,622,458,NoGas,596_NoGas
165,968,745,530,396,393,540,564,463,NoGas,968_NoGas
166,484,766,530,444,451,649,717,485,NoGas,484_NoGas
167,1101,749,530,386,381,513,532,473,Perfume,1101_Perfume
168,54,686,521,447,437,679,682,464,Perfume,54_Perfume
